long,lat,trail
145.07940599201805,-37.86947776319332,OUTER CIRCLE RAIL TRAIL
145.07938847551515,-37.86962164829152,OUTER CIRCLE RAIL TRAIL
145.07934383563915,-37.8697890534481,OUTER CIRCLE RAIL TRAIL
145.07922365091198,-37.8701997972943,OUTER CIRCLE RAIL TRAIL
145.0791467882034,-37.87042011489144,OUTER CIRCLE RAIL TRAIL
145.07955853621633,-37.86791924436457,OUTER CIRCLE RAIL TRAIL
145.0795329048345,-37.86798164907315,OUTER CIRCLE RAIL TRAIL
145.07949615548338,-37.86816247023588,OUTER CIRCLE RAIL TRAIL
145.07945465000907,-37.86840313605904,OUTER CIRCLE RAIL TRAIL
145.0793827737021,-37.868781329141505,OUTER CIRCLE RAIL TRAIL
145.07930928289278,-37.86915315683564,OUTER CIRCLE RAIL TRAIL
145.07931898131486,-37.86921171885872,OUTER CIRCLE RAIL TRAIL
145.07935918182318,-37.86925752802939,OUTER CIRCLE RAIL TRAIL
145.07941543887316,-37.86929823330966,OUTER CIRCLE RAIL TRAIL
145.07943957876162,-37.86934405307147,OUTER CIRCLE RAIL TRAIL
145.07943521009472,-37.86941233788624,OUTER CIRCLE RAIL TRAIL
145.0756481316082,-37.893467965915775,OUTER CIRCLE RAIL TRAIL
145.07570604666788,-37.893604080986755,OUTER CIRCLE RAIL TRAIL
145.07582343930514,-37.89373579057558,OUTER CIRCLE RAIL TRAIL
145.07616269954792,-37.894005900497994,OUTER CIRCLE RAIL TRAIL
145.07668957584752,-37.8942725111583,OUTER CIRCLE RAIL TRAIL
145.07662365536743,-37.894521220092486,OUTER CIRCLE RAIL TRAIL
145.0756481316082,-37.893467965915775,OUTER CIRCLE RAIL TRAIL
145.0755608178276,-37.893350742904296,OUTER CIRCLE RAIL TRAIL
145.07542642030631,-37.89326804047777,OUTER CIRCLE RAIL TRAIL
145.07520885375914,-37.893163426053185,OUTER CIRCLE RAIL TRAIL
145.0751149658656,-37.8930823872298,OUTER CIRCLE RAIL TRAIL
145.07502321661215,-37.893008105200614,OUTER CIRCLE RAIL TRAIL
145.07467494282756,-37.891370427475266,OUTER CIRCLE RAIL TRAIL
145.07465658225055,-37.89145797848278,OUTER CIRCLE RAIL TRAIL
145.0746294605613,-37.89152008509832,OUTER CIRCLE RAIL TRAIL
145.07471758329802,-37.891701232518535,OUTER CIRCLE RAIL TRAIL
145.07477369910987,-37.89185579040758,OUTER CIRCLE RAIL TRAIL
145.0748924243761,-37.89226120356746,OUTER CIRCLE RAIL TRAIL
